"Sample ID","Species","Data source","Biosample type","Tissue type","Biosample name"
"Sample_00_0001","Human","Roadmap","Tissue","Adipose","adipose-tissue"
"Sample_00_0003","Human","Roadmap","Tissue","Adrenal gland","adrenal-gland_97d"
"Sample_00_0004","Human","Roadmap","Tissue","Aorta","aorta"
"Sample_00_0005","Human","Roadmap","Primary cell","Blood","B-cell"
"Sample_00_0006","Human","Roadmap","Primary cell","Blood","CD14-positive-monocyte"
"Sample_00_0007","Human","Roadmap","Primary cell","Blood","naive thymus-derived CD4-positive,alpha-beta T cell"
"Sample_00_0008","Human","Roadmap","Primary cell","Blood","CD4-positive-alpha-beta-memory-T-cell"
"Sample_00_0009","Human","Roadmap","Primary cell","Blood","CD8-positive-alpha-beta-T-cell"
"Sample_00_0010","Human","Roadmap","In vitro differentiated cell","Embryo","endodermal-cell"
"Sample_00_0011","Human","Roadmap","Tissue","Esophagus","esophagus"
"Sample_00_0012","Human","Roadmap","Stem cell","Embryo","H1-hESC"
"Sample_00_0013","Human","Roadmap","Stem cell","Embryo","H9"
"Sample_00_0014","Human","Roadmap","Tissue","Heart left ventricle","heart-left-ventricle"
"Sample_00_0015","Human","Roadmap","Cell line","Lung","IMR-90"
"Sample_00_0016","Human","Roadmap","Induced pluripotent stem cell line","Foreskin","iPS-DF-19.11"
"Sample_00_0017","Human","Roadmap","Induced pluripotent stem cell line","Foreskin","iPS-DF-6.9"
"Sample_00_0018","Human","Roadmap","Induced pluripotent stem cell line","Dermal fibroblasts","iPS-18axian"
"Sample_00_0019","Human","Roadmap","Induced pluripotent stem cell line","Dermal fibroblasts","iPS-20b"
"Sample_00_0020","Human","Roadmap","Tissue","Large intestine","large-intestine_108d"
"Sample_00_0021","Human","Roadmap","Tissue","Lung","lung_3y"
"Sample_00_0022","Human","Roadmap","Tissue","Lung","lung_30y"
"Sample_00_0023","Human","Roadmap","In vitro differentiated cell","Embryo","mesenchymal-stem-cell"
"Sample_00_0024","Human","Roadmap","In vitro differentiated cell","Embryo","mesendoderm"
"Sample_00_0025","Human","Roadmap","Tissue","Muscle of leg","muscle-of-leg"
"Sample_00_0026","Human","Roadmap","Tissue","Muscle of trunk","muscle-of-trunk"
"Sample_00_0027","Human","Roadmap","Primary cell","Blood","natural-killer-cell"
"Sample_00_0029","Human","Roadmap","Tissue","Ovary","ovary"
"Sample_00_0030","Human","Roadmap","Tissue","Pancreas","pancreas"
"Sample_00_0031","Human","Roadmap","Tissue","Placenta","placenta"
"Sample_00_0032","Human","Roadmap","Tissue","Psoas muscle","psoas-muscle_30y"
"Sample_00_0033","Human","Roadmap","Tissue","Psoas muscle","psoas-muscle_3y"
"Sample_00_0034","Human","Roadmap","Tissue","Right cardiac atrium","right-cardiac-atrium"
"Sample_00_0035","Human","Roadmap","Tissue","Sigmoid colon","sigmoid-colon"
"Sample_00_0036","Human","Roadmap","Tissue","Small intestine","small-intestine_108days"
"Sample_00_0038","Human","Roadmap","Tissue","Spinal cord","spinal-cord_108d"
"Sample_00_0039","Human","Roadmap","Tissue","Spleen","spleen_3y"
"Sample_00_0040","Human","Roadmap","Tissue","Spleen","spleen_30y"
"Sample_00_0041","Human","Roadmap","Tissue","Stomach","stomach_3y"
"Sample_00_0042","Human","Roadmap","Tissue","Stomach","stomach_30y"
"Sample_00_0043","Human","Roadmap","Tissue","Stomach","stomach_96d"
"Sample_00_0044","Human","Roadmap","Primary cell","Cord blood","T-cell"
"Sample_00_0045","Human","Roadmap","Tissue","Thymus","thymus"
"Sample_00_0046","Human","Roadmap","Tissue","Heart","right ventricle_34y"
"Sample_00_0047","Human","Roadmap","Primary cell","Blood","effector memory CD4+ alpha-beta T cell"
"Sample_00_0048","Human","Roadmap","In vitro differentiated cell","Embryo","neuronal stem cell originated from H1"
"Sample_00_0049","Human","Roadmap","Tissue","Small intestine","small intestine 30y"
"Sample_00_0050","Human","Roadmap","Tissue","Esophagus","esophagus_30y"
"Sample_00_0051","Human","Roadmap","Tissue","Adrenal gland","adrenal gland 30y"
"Sample_00_0052","Human","Roadmap","Tissue","Heart","left ventricle 3y"
"Sample_00_0053","Human","Roadmap","In vitro differentiated cell","Embryo","trophoblast cell originated from H1"
"Sample_00_0054","Human","Roadmap","Tissue","Pancreas","pancreas 30y"
"Sample_00_0055","Human","Roadmap","Tissue","Spleen","spleen 34y"
"Sample_00_0056","Human","Roadmap","Tissue","Sigmoid colon","sigmoid colon 3y"
"Sample_00_0057","Human","Roadmap","Tissue","Heart","right ventricle 3y"
"Sample_00_0058","Human","Roadmap","Tissue","Stomach","stomach 34y"
"Sample_01_0001","Human","ENCODE","Cell line","Prostate","22Rv1"
"Sample_01_0002","Human","ENCODE","Cell line","Prostate","22Rv1_10nM17beta-hydroxy-5alpha-androstan-3-one"
"Sample_01_0006","Human","ENCODE","Cell line","Lung","A549_ethanol_1h"
"Sample_01_0012","Human","ENCODE","Cell line","Lung","A549_dexamethasone_1h"
"Sample_01_0017","Human","ENCODE","Cell line","Muscle","A673"
"Sample_01_0018","Human","ENCODE","Cell line","Submandibular Salivary Gland","ACC112"
"Sample_01_0019","Human","ENCODE","Primary cell","Brain and spinal cord","astrocyte"
"Sample_01_0020","Human","ENCODE","Primary cell","Blood","B-cell"
"Sample_01_0021","Human","ENCODE","In vitro differentiated cell","Skin","bipolar-neuron"
"Sample_01_0022","Human","ENCODE","Cell line","Prostate","C4-2B"
"Sample_01_0023","Human","ENCODE","In vitro differentiated cell","Embryo","cardiac-muscle-cell"
"Sample_01_0024","Human","ENCODE","Primary cell","Blood","CD14-positive-monocyte"
"Sample_01_0025","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue blood","DND-41"
"Sample_01_0026","Human","ENCODE","Primary cell","Umbilical vein","endothelial-cell-of-umbilical-vein"
"Sample_01_0027","Human","ENCODE","Primary cell","Prostate","epithelial-cell-of-prostate"
"Sample_01_0029","Human","ENCODE","Primary cell","Lung","fibroblast-of-lung"
"Sample_01_0030","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue blood","GM12878"
"Sample_01_0031","Human","ENCODE","Induced pluripotent stem cell line","Skin","GM23338"
"Sample_01_0033","Human","ENCODE","Stem cell","Embryo","H9"
"Sample_01_0034","Human","ENCODE","Cell line","Colon","HCT116"
"Sample_01_0036","Human","ENCODE","Cell line","Cervix","HeLa-S3"
"Sample_01_0037","Human","ENCODE","In vitro differentiated cell","Liver","hepatocyte"
"Sample_01_0038","Human","ENCODE","Cell line","Liver","HepG2"
"Sample_01_0039","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue bone marrow","K562"
"Sample_01_0040","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","Karpas-422"
"Sample_01_0041","Human","ENCODE","Primary cell","Skin","keratinocyte"
"Sample_01_0042","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","KMS-11"
"Sample_01_0043","Human","ENCODE","Cell line","Blood","KOPT-K1"
"Sample_01_0044","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","Loucy"
"Sample_01_0045","Human","ENCODE","Primary cell","Mammary gland","mammary-epithelial-cell"
"Sample_01_0046","Human","ENCODE","Cell line","Mammary gland","MCF-7"
"Sample_01_0047","Human","ENCODE","In vitro differentiated cell","Embryo","mid-neurogenesis-radial-glial-cells"
"Sample_01_0048","Human","ENCODE","Cell line","Peripheral blood","MM.1S"
"Sample_01_0050","Human","ENCODE","In vitro differentiated cell","Embryo","neural-cell"
"Sample_01_0051","Human","ENCODE","In vitro differentiated cell","Embryo","neural-progenitor-cell"
"Sample_01_0052","Human","ENCODE","Primary cell","Blood","neutrophil"
"Sample_01_0053","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","OCI-LY1"
"Sample_01_0054","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","OCI-LY3"
"Sample_01_0055","Human","ENCODE","Cell line","Haematopoietic and lymphoid tissue","OCI-LY7"
"Sample_01_0056","Human","ENCODE","Primary cell","Bone","osteoblast"
"Sample_01_0057","Human","ENCODE","Cell line","Pancreas duct","PANC-1"
