"Sample ID",""Category","Series 1"
"Sample_04_0003","",4
"Sample_04_0003","C12ORF80",3
"Sample_04_0003","KRT7",3
"Sample_04_0003","KRT8",3
"Sample_04_0003","KRT18",3
"Sample_04_0003","CMIP",3
"Sample_04_0003","LOC79999",3
"Sample_04_0003","ABCC3",3
"Sample_04_0003","GLI2",3
"Sample_04_0003","FOXP1",3
"Sample_04_0003","NRG1",3
"Sample_04_0003","NRG1-IT3",3
"Sample_04_0003","SHC1",2
"Sample_04_0003","CKS1B",2
"Sample_04_0003","PBXIP1",2
"Sample_04_0003","ZBTB7B",2
"Sample_04_0003","PYGO2",2
"Sample_04_0003","LENEP",2
"Sample_04_0003","MIR4258",2
"Sample_04_0003","FLAD1",2
"Sample_04_0003","ITGB1",2
"Sample_04_0003","AKR1C1",2
"Sample_04_0003","AKR1C2",2
"Sample_04_0003","AKR1C3",2
"Sample_04_0003","DDIT4",2
"Sample_04_0003","ASCC1",2
"Sample_04_0003","ANAPC16",2
"Sample_04_0003","NEAT1",2
"Sample_04_0003","SLC25A45",2
"Sample_04_0003","FRMD8",2
"Sample_04_0003","MIR612",2
"Sample_04_0003","LTBP3",2
"Sample_04_0003","SSSCA1",2
"Sample_04_0003","CDC42EP2",2
"Sample_04_0003","SCYL1",2
"Sample_04_0003","POLD4",2
"Sample_04_0003","LOC100130987",2
"Sample_04_0003","RAD9A",2
"Sample_04_0003","CLCF1",2
"Sample_04_0003","PPP1CA",2
"Sample_04_0003","TBC1D10C",2
"Sample_04_0003","PCED1B",2
"Sample_04_0003","PCED1B-AS1",2
"Sample_04_0003","KRT80",2
"Sample_04_0003","KRT81",2
"Sample_04_0003","GPR132",2
"Sample_04_0003","RAD51B",2
"Sample_04_0003","ZFP36L1",2
"Sample_04_0003","LTBP2",2
"Sample_04_0003","IRF2BPL",2
"Sample_04_0003","SMAD6",2
"Sample_04_0003","MIR4720",2
"Sample_04_0003","GRAP",2
"Sample_04_0003","SNORD3B-1",2
"Sample_04_0003","GRAPL",2
"Sample_04_0003","SNORD3D",2
"Sample_04_0003","SNORD3C",2
"Sample_04_0003","SNORD3A",2
"Sample_04_0003","RNU2-1",2
"Sample_04_0003","LINC00854",2
"Sample_04_0003","HEXIM2",2
"Sample_04_0003","HEXIM1",2
"Sample_04_0003","PLCD3",2
"Sample_04_0003","ACBD4",2
"Sample_04_0003","FMNL1",2
"Sample_04_0003","GIP",2
"Sample_04_0003","SNF8",2
"Sample_04_0003","IGF2BP1",2
"Sample_04_0003","LUC7L3",2
"Sample_04_0003","ANKRD40",2
"Sample_04_0003","CUEDC1",2
"Sample_04_0003","LINC00673",2
"Sample_04_0003","KDM6B",2
"Sample_04_0003","CYB5D1",2
"Sample_04_0003","CHD3",2
"Sample_04_0003","TMEM88",2
"Sample_04_0003","NAA38",2
"Sample_04_0003","CNTROB",2
"Sample_04_0003","KCNAB3",2
"Sample_04_0003","LOC101060542",2
"Sample_04_0003","STK11",2
"Sample_04_0003","YIF1B",2
"Sample_04_0003","ACTN4",2
"Sample_04_0003","SARS2",2
"Sample_04_0003","FBXO17",2
"Sample_04_0003","CEACAM19",2
"Sample_04_0003","PVR",2
"Sample_04_0003","CEACAM16",2
"Sample_04_0003","BRE",2
"Sample_04_0003","LINC01119",2
"Sample_04_0003","RIN2",2
"Sample_04_0003","ZMYND8",2
"Sample_04_0003","LOC100131496",2
"Sample_04_0003","NKILA",2
"Sample_04_0003","PMEPA1",2
"Sample_04_0003","MIR6070",2
"Sample_04_0003","CCDC80",2
"Sample_04_0003","ZBTB38",2
"Sample_04_0003","BHLHE40-AS1",2
"Sample_04_0003","BHLHE40",2
"Sample_02_1236","LINC00899",5
"Sample_02_1236","PRR34-AS1",5
"Sample_02_1236","PRR34",5
"Sample_02_1236","LOC642366",5
"Sample_02_1236","NRXN1",4
"Sample_02_1236","MIR3619",4
"Sample_02_1236","MIRLET7BHG",4
"Sample_02_1236","NFIA",3
"Sample_02_1236","MSI2",3
"Sample_02_1236","LOC101927539",3
"Sample_02_1236","INSM1",3
"Sample_02_1236","LOC730668",3
"Sample_02_1236","MIRLET7A3",3
"Sample_02_1236","MIR4763",3
"Sample_02_1236","MIRLET7B",3
"Sample_02_1236","RASGEF1B",3
